cutout,pair_id,x0_kpc,y0_kpc,tng_ad_statistic,tng_ad_empirical_p,tng_residual_rms,grf_median_residual_rms,tng_residual_rms_empirical_p,tng_negative_dip,grf_median_negative_dip,tng_negative_dip_empirical_p,tng_residual_max_abs,grf_median_residual_max_abs,tng_residual_max_abs_empirical_p,tng_distinguishable_ad,tng_distinguishable_rms
cutout_0.hdf5,0,-77.13657358069408,174.4137066258953,17.90075887862653,0.1428571428571428,0.0053458159125279,0.0054655347245389,0.6666666666666666,0.0174530115692751,0.015069134209427,0.1904761904761904,0.0174530115692751,0.015069134209427,0.1904761904761904,False,False
cutout_0.hdf5,1,159.42190064781826,-105.74008437800956,-0.6191930617961866,0.9047619047619048,0.0178308871911742,0.0176731414125968,0.3809523809523809,0.0531262918637791,0.0518400386491836,0.3809523809523809,0.0531262918637791,0.0518400386491836,0.3809523809523809,False,False
cutout_0.hdf5,2,66.43820376824232,-87.85505836725197,14.01074685529869,0.8095238095238095,0.0148471763999396,0.0207150093930135,0.8095238095238095,0.0456822070041389,0.0508924721311836,0.7142857142857143,0.0456822070041389,0.0678296722627672,0.8095238095238095,False,False
cutout_0.hdf5,3,-15.851677268999838,-14.835167832411836,5.496729255913923,1.0,0.0580279896921182,0.0567561774706906,0.5714285714285714,0.1179718262768469,0.1426846331898192,0.7142857142857143,0.1179718262768469,0.1463412932532217,0.7142857142857143,False,False
cutout_0.hdf5,4,181.30640475441584,21.40404952573216,15.04058184818083,0.4285714285714285,0.0108453805370467,0.0139280665755542,0.8095238095238095,0.0338313394642328,0.0299607552396162,0.4285714285714285,0.0338313394642328,0.0367234373163901,0.6190476190476191,False,False
cutout_0.hdf5,5,42.53324099403661,-154.07845688654692,23.643029795239503,0.2857142857142857,0.0339501731474204,0.0242939580460814,0.0952380952380952,0.0591599135270573,0.0472442730008739,0.1904761904761904,0.0894959279212644,0.0581140697175684,0.0476190476190476,False,False
cutout_0.hdf5,6,-14.826809275449358,-160.85714198590054,6.2899016474733545,0.7142857142857143,0.0695207372770321,0.0662271654013747,0.1428571428571428,0.1387315020510502,0.1452682628550387,0.2857142857142857,0.1387315020510502,0.1452682628550387,0.2857142857142857,False,False
cutout_0.hdf5,7,116.07039613850344,-29.507311532484614,56.93333768610866,0.4285714285714285,0.0067973245359116,0.0184903089588889,0.9523809523809524,0.0092821425819109,0.0338827804214808,0.9523809523809524,0.0186526964549063,0.0439137815746677,0.9523809523809524,False,False
cutout_0.hdf5,8,145.39272443001371,-118.05599250560368,28.3068096436247,0.5714285714285714,0.0272259786450637,0.0198952313257199,0.3333333333333333,0.061118766703766,0.0470042550720634,0.3333333333333333,0.061118766703766,0.0478843921581002,0.3809523809523809,False,False
cutout_0.hdf5,9,-46.498131026129215,87.94356578174578,21.76238059101287,0.4285714285714285,0.0040611826705548,0.0066862657152194,0.9047619047619048,0.0132186591950071,0.0146167236519867,0.6190476190476191,0.0132186591950071,0.0167067071174986,0.7619047619047619,False,False
cutout_0.hdf5,10,-12.392405556045542,69.52201178362644,8.697330927722481,0.7619047619047619,0.0014833440357111,0.0018311526798229,0.8095238095238095,0.0038131150349404,0.0042835272658154,0.8095238095238095,0.0038131150349404,0.0048933489990096,0.8095238095238095,False,False
cutout_0.hdf5,11,72.6899673906525,-8.384500378869399,22.378124489825115,0.6190476190476191,0.0064772597173956,0.0083798815169627,0.7142857142857143,0.0165333593688188,0.0221303083669752,0.6190476190476191,0.0211305146339651,0.0239758351378822,0.6190476190476191,False,False
cutout_0.hdf5,12,-135.01469809745296,-20.227003601648455,34.29044220442639,0.1904761904761904,0.0163203650852318,0.0134796372761543,0.3333333333333333,0.0283747314003529,0.034227885963768,0.5238095238095238,0.0285260753536081,0.0366470531658333,0.6666666666666666,False,False
cutout_0.hdf5,13,-12.878977303015697,-94.04695129111256,24.20729287293337,0.238095238095238,0.034830818915143,0.0239507798076808,0.1904761904761904,0.0711648046898105,0.0430961925727043,0.1428571428571428,0.0744337808788928,0.0577505004998581,0.3809523809523809,False,False
cutout_0.hdf5,14,85.98220138008638,-116.24546496754016,36.727526825577506,0.0476190476190476,0.0768990710374252,0.0583848161617141,0.0476190476190476,0.1562960429740819,0.1050529448776244,0.0476190476190476,0.1562960429740819,0.1074690278830287,0.0476190476190476,True,True
