cutout,pair_id,grf_index,grf_ad_statistic,grf_ad_empirical_p,grf_residual_rms,grf_residual_rms_empirical_p,grf_negative_dip,grf_negative_dip_empirical_p,grf_residual_max_abs,grf_residual_max_abs_empirical_p,grf_distinguishable_ad,grf_distinguishable_rms
cutout_0.hdf5,0,0,0.761876981265499,0.8571428571428571,0.0060977703771126,0.2857142857142857,0.014350921956659,0.8095238095238095,0.014350921956659,0.8095238095238095,False,False
cutout_0.hdf5,0,1,1.4072760283330707,0.7619047619047619,0.0061542854508302,0.238095238095238,0.0164458780872868,0.3809523809523809,0.0164458780872868,0.3809523809523809,False,False
cutout_0.hdf5,0,2,2.995044766002204,0.6666666666666666,0.005634883195693,0.4761904761904761,0.0145277162986103,0.7142857142857143,0.0145277162986103,0.7142857142857143,False,False
cutout_0.hdf5,0,3,18.410971675023152,0.1428571428571428,0.0062877968553752,0.1904761904761904,0.0155674054797793,0.4761904761904761,0.0155674054797793,0.4761904761904761,False,False
cutout_0.hdf5,0,4,8.037236707983046,0.3809523809523809,0.0059479400730175,0.3333333333333333,0.0154185524169387,0.4761904761904761,0.0154185524169387,0.4761904761904761,False,False
cutout_0.hdf5,1,0,-0.6554602044883044,0.9047619047619048,0.0171924271167326,0.6666666666666666,0.0497884961452173,0.9523809523809524,0.0497884961452173,0.9523809523809524,False,False
cutout_0.hdf5,1,1,4.409543022529384,0.238095238095238,0.0186845889276302,0.0952380952380952,0.0542565662546306,0.1428571428571428,0.0542565662546306,0.1428571428571428,False,False
cutout_0.hdf5,1,2,0.5502466273388231,0.4285714285714285,0.0188525168740441,0.0952380952380952,0.0515918050389766,0.6666666666666666,0.0515918050389766,0.6666666666666666,False,False
cutout_0.hdf5,1,3,4.025727998717223,0.2857142857142857,0.0164215194265598,1.0,0.0544284036339126,0.1428571428571428,0.0544284036339126,0.1428571428571428,False,False
cutout_0.hdf5,1,4,-0.3420364769439684,0.7142857142857143,0.0176021262604396,0.3809523809523809,0.0509477178937038,0.7142857142857143,0.0509477178937038,0.7142857142857143,False,False
cutout_0.hdf5,2,0,9.365837300070112,1.0,0.0191365760542709,0.5238095238095238,0.0411623192099504,0.8571428571428571,0.0559992248716493,0.4285714285714285,False,False
cutout_0.hdf5,2,1,13.150009281980326,0.8095238095238095,0.0204954243053672,0.4285714285714285,0.0517820314493484,0.5714285714285714,0.0528827100387228,0.5714285714285714,False,False
cutout_0.hdf5,2,2,22.472469439472167,0.2857142857142857,0.0196599460182414,0.5238095238095238,0.0505954064851304,0.5714285714285714,0.0505954064851304,0.6190476190476191,False,False
cutout_0.hdf5,2,3,5.835000065488117,1.0,0.0209880953836556,0.3809523809523809,0.0730836935668814,0.1904761904761904,0.0730836935668814,0.1904761904761904,False,False
cutout_0.hdf5,2,4,27.056920875886295,0.1904761904761904,0.0221247691159309,0.3333333333333333,0.0574990341783427,0.3809523809523809,0.0574990341783427,0.4285714285714285,False,False
cutout_0.hdf5,3,0,13.32718230861702,0.9047619047619048,0.037587224614131,0.6666666666666666,0.1583143978460546,0.2857142857142857,0.1583143978460546,0.3809523809523809,False,False
cutout_0.hdf5,3,1,3.911367578336046,1.0,0.0555166934523533,0.6190476190476191,0.2067212042435678,0.1904761904761904,0.2067212042435678,0.238095238095238,False,False
cutout_0.hdf5,3,2,9.634280172883882,0.9047619047619048,0.0420218098154591,0.6666666666666666,0.0723095146294572,0.8571428571428571,0.0723095146294572,0.8571428571428571,False,False
cutout_0.hdf5,3,3,11.626468168165143,0.9047619047619048,0.0484361274195589,0.6190476190476191,0.1281816564605649,0.5714285714285714,0.1503324829647154,0.4285714285714285,False,False
cutout_0.hdf5,3,4,5.543155940032133,1.0,0.0696301843725457,0.4761904761904761,0.2198072840133308,0.1428571428571428,0.222174034479872,0.1428571428571428,False,False
cutout_0.hdf5,4,0,4.9135158857043875,0.8095238095238095,0.0130973238292041,0.5238095238095238,0.021003032256853,0.8571428571428571,0.0346033967823073,0.5714285714285714,False,False
cutout_0.hdf5,4,1,5.872920518927828,0.8095238095238095,0.0124366364405282,0.6666666666666666,0.0205291147406543,0.8571428571428571,0.0331109644743957,0.6190476190476191,False,False
cutout_0.hdf5,4,2,13.770322651709323,0.4285714285714285,0.0090221850536568,0.9047619047619048,0.0269273264649338,0.6190476190476191,0.0269273264649338,0.8571428571428571,False,False
cutout_0.hdf5,4,3,99.15228093439846,0.0476190476190476,0.024892014913338,0.0476190476190476,0.0537213493146979,0.0476190476190476,0.0537213493146979,0.0476190476190476,True,True
cutout_0.hdf5,4,4,6.289934791707748,0.7619047619047619,0.0103008738589133,0.8571428571428571,0.030953521984595,0.4285714285714285,0.030953521984595,0.6666666666666666,False,False
cutout_0.hdf5,5,0,28.943403893043257,0.1428571428571428,0.0144190720563472,0.8571428571428571,0.0197856453228192,1.0,0.0431994350277586,0.7142857142857143,False,False
cutout_0.hdf5,5,1,24.586419031858338,0.238095238095238,0.0168055009517779,0.7142857142857143,0.0180333291092958,1.0,0.0494936235415968,0.4761904761904761,False,False
